date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:27	334724/334724	---M-Z	200	added ('OK')	text/html	etag:W/%2289136ec3e6d6708110855ad3b30217a5%22	https://rey-fluid-demo.squarespace.com/	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/rey-fluid-demo.squarespace.com/index.html	(from )
22:44:28	335/335	---M-Z	200	added ('OK')	text/plain	date:Fri,%2010%20Feb%202023%2017:11:53%20GMT	https://rey-fluid-demo.squarespace.com/robots.txt		(from )
22:44:29	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://rey-fluid-demo.squarespace.com/)
22:44:31	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://rey-fluid-demo.squarespace.com/)
22:44:33	19128/19128	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2010%20Feb%202023%2017:14:28%20GMT	http://use.typekit.net/ik/E2IJLNQ39hobg8omIoAStcN8p7WisFA23vzBecR5q5Cfe79IfFHN4UJLFRbh52jhWDjkFeJuw2FqZeFRFhbkFhwUZQg8FAFcZsnKMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ScmoOAZCiA8qOAs8dAv0SaBujW48Sagyjh90jhNlOfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUCdhFydeyzSabCScmoOAZCiA8qOAs8dAv0SaBujW48Sagyjh90jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaO148pPucdYmTZfuqZAuzO1FUiABkZWF3jAF8OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJOda43-emuSku3ScvKeAo8iA9l-eBySku1ScNXZWFnOAsTSagCjWq7f6Rnz6IbMg6IJMJ7f6RTz6IbMg6YJMJ7f6R7z6IbMg65JMJ7f6RelMJbMs6IJMJ7f6RJlMJbMs6BJMJ7f6RwlMJbMs6YJMJ7f6RYlMJbMs65JMJ7f6R4lMJbMs6VJMJ7f6RFlMJbMs6sJMHbMj7m8Tbe.js	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/use.typekit.net/ik/E2IJLNQ39hobg8omIoAStcN8p7WisFA23vzBecR5q5Cfe79IfFHN4UJLFRbh52jhWDjkFeJuw2FqZeFRFhbkFhwUZQg8FAFcZsnKMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG	(from https://rey-fluid-demo.squarespace.com/)
22:44:49	45881/45881	---M-Z	200	added ('OK')	text/javascript	etag:%22b514b5077b84e5af4099b66d76d58ca6%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-0890574d3b65c5531de6a-min.en-US.js	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-0890574d3b65c5531de6a-min.en-US.js	(from https://rey-fluid-demo.squarespace.com/)
22:44:53	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%22ed50d686d52e72628c6a3bead3317fef%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c6a38111aec507149cb3d-min.en-US.js	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c6a38111aec507149cb3d-min.en-US.js	(from https://rey-fluid-demo.squarespace.com/)
22:45:00	589307/589307	---M-Z	200	added ('OK')	text/javascript	etag:%2277a546c78e5335ac223ce347591cf662%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	(from https://rey-fluid-demo.squarespace.com/)
22:45:00	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%22c7db15035020752c23874ffad6594fb7%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fd2acc815706e38fcfdf0-min.en-US.js	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fd2acc815706e38fcfdf0-min.en-US.js	(from https://rey-fluid-demo.squarespace.com/)
22:45:05	98538/98538	---M-Z	200	added ('OK')	text/javascript	etag:%22c175045b0cfb1e040ac67e1e3536227b%22	http://assets.squarespace.com/universal/scripts-compressed/sign-up-pill-c99474bc4700b27a3c402-min.en-US.js	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/assets.squarespace.com/universal/scripts-compressed/sign-up-pill-c99474bc4700b27a3c402-min.en-US.js	(from https://rey-fluid-demo.squarespace.com/)
22:45:05	1250/1250	---M-Z	200	added ('OK')	text/css	etag:%225dea89ac9866a1bd24c8549d35bf3ed3%22	http://assets.squarespace.com/universal/styles-compressed/sign-up-pill-cae92d93bbe09adc53ba7-min.en-US.css	C:/Users/thatt/Desktop/Amma%20Baba/AmmaBaba/assets.squarespace.com/universal/styles-compressed/sign-up-pill-cae92d93bbe09adc53ba7-min.en-US.css	(from https://rey-fluid-demo.squarespace.com/)
